,Unnamed: 0,country,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,vintage,lat,long,path,row
1780,3181,US,Cerise Vineyard,93,52.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Phillips Hill 2014 Cerise Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Phillips Hill,2014,39.022872,-123.36028999999999,45,33
1800,4927,US,Deer Meadows Vineyard,92,58.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Waits-Mast 2014 Deer Meadows Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Waits-Mast,2014,39.033753999999995,-123.346528,45,33
1818,2588,US,Ferrington Vineyard,92,68.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Arista 2014 Ferrington Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Arista,2014,39.017115000000004,-123.362051,45,33
1819,3542,US,Ferrington Vineyard,93,60.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Daniel 2014 Ferrington Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Daniel,2014,39.017115000000004,-123.362051,45,33
1820,3813,US,Ferrington Vineyard,95,65.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,FEL 2014 Ferrington Vineyard Pinot Noir (Anderson Valley),Pinot Noir,FEL,2014,39.017115000000004,-123.362051,45,33
1821,3943,US,Ferrington Vineyard,92,65.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Williams Selyem 2014 Ferrington Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Williams Selyem,2014,39.017115000000004,-123.362051,45,33
1825,3690,US,Ferrington Vineyards,92,60.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Davies 2014 Ferrington Vineyards Pinot Noir (Anderson Valley),Pinot Noir,Davies,2014,39.017115000000004,-123.362051,45,33
1854,2630,US,Monument Tree,94,48.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Couloir 2014 Monument Tree Pinot Noir (Anderson Valley),Pinot Noir,Couloir,2014,39.114574,-123.513549,45,33
1881,3184,US,Savoy Vineyard,93,75.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Walt 2014 Savoy Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Walt,2014,39.078613,-123.46444699999999,45,33
1882,4423,US,Savoy Vineyard,93,70.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,FEL 2014 Savoy Vineyard Pinot Noir (Anderson Valley),Pinot Noir,FEL,2014,39.078613,-123.46444699999999,45,33
1887,4431,US,Split Rail Vineyard,93,82.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Goldeneye 2014 Split Rail Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Goldeneye,2014,37.035276,-121.80353999999998,44,34
1910,2576,US,Wentzel Vineyard,91,42.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Halcon 2014 Wentzel Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Halcon,2014,39.047852,-123.439176,45,33
1911,2903,US,Wentzel Vineyard,93,47.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Waits-Mast 2014 Wentzel Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Waits-Mast,2014,39.047852,-123.439176,45,33
1913,4672,US,Wightman House,92,55.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,MacPhail 2014 Wightman House Pinot Noir (Anderson Valley),Pinot Noir,MacPhail,2014,39.027899,-123.388884,45,33
2342,4448,US,Antle Vineyard,93,40.0,California,Chalone,Central Coast,Matt Kettmann,@mattkettmann,Birichino 2014 Antle Vineyard Pinot Noir (Chalone),Pinot Noir,Birichino,2014,36.478214,-121.23823,43,35
2349,3615,US,Brosseau Vineyard,91,58.0,California,Chalone,Central Coast,Matt Kettmann,@mattkettmann,Fulcrum 2014 Brosseau Vineyard Pinot Noir (Chalone),Pinot Noir,Fulcrum,2014,36.456165000000006,-121.232087,43,35
2352,3934,US,Brousseau Vineyard,92,64.0,California,Chalone,Central Coast,Matt Kettmann,@mattkettmann,Testarossa 2014 Brousseau Vineyard Pinot Noir (Chalone),Pinot Noir,Testarossa,2014,36.456165000000006,-121.232087,43,35
3587,3495,US,Alfaro Family Vineyard,93,55.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Big Basin 2014 Alfaro Family Vineyard Pinot Noir (Santa Cruz Mountains),Pinot Noir,Big Basin,2014,37.182108,-122.159026,44,34
3604,4905,US,Estate Bottled,95,62.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Mount Eden Vineyards 2014 Estate Bottled Pinot Noir (Santa Cruz Mountains),Pinot Noir,Mount Eden Vineyards,2014,37.267552,37.267552,174,34
3632,2843,US,Muns Vineyard Rosé of,87,24.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Bravium 2014 Muns Vineyard Rosé of Pinot Noir (Santa Cruz Mountains),Pinot Noir,Bravium,2014,37.108937,-121.890234,44,34
3646,3671,US,Regan Vineyards Reserve,94,45.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Bargetto 2014 Regan Vineyards Reserve Pinot Noir (Santa Cruz Mountains),Pinot Noir,Bargetto,2014,36.995115000000006,-121.770508,43,34
3698,3053,US,Doctor's Vineyard,92,50.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Lucienne 2014 Doctor's Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Lucienne,2014,36.393772,-121.38298300000001,43,35
3699,3684,US,Doctor's Vineyard,93,66.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Testarossa 2014 Doctor's Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,2014,36.393772,-121.38298300000001,43,35
3700,4763,US,Doctor's Vineyard,90,75.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Scheid Vineyards 2014 Doctor's Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Scheid Vineyards,2014,36.393772,-121.38298300000001,43,35
3701,4901,US,Doctor's Vineyard,88,57.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Séamus Wines 2014 Doctor's Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Séamus Wines,2014,36.393772,-121.38298300000001,43,35
3705,3079,US,Dos Rubios Vineyard,91,64.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Testarossa 2014 Dos Rubios Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,2014,36.383771,-121.360881,43,35
3708,4656,US,Double L Vineyard,93,60.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Morgan 2014 Double L Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Morgan,2014,36.482796,-121.497309,43,35
3711,2625,US,Escolle Road Vineyard,94,40.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Landmark 2014 Escolle Road Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Landmark,2014,36.472029,-121.482525,43,35
3715,4299,US,Estate,93,42.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Boekenoogen 2014 Estate Pinot Noir (Santa Lucia Highlands),Pinot Noir,Boekenoogen,2014,36.441809,-121.46278400000001,43,35
3716,4678,US,Estate,92,42.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,McIntyre Vineyards 2014 Estate Pinot Noir (Santa Lucia Highlands),Pinot Noir,McIntyre Vineyards,2014,36.467042,-121.46628100000001,43,35
3718,4958,US,Estate Rose of,89,22.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,McIntyre Vineyards 2014 Estate Rose of Pinot Noir (Santa Lucia Highlands),Pinot Noir,McIntyre Vineyards,2014,36.467042,-121.46628100000001,43,35
3721,3678,US,Fogstone Vineyard,93,64.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Testarossa 2014 Fogstone Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,2014,36.383771,-121.360881,43,35
3725,4647,US,Garrett's Vineyard Dryland,93,60.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Boekenoogen 2014 Garrett's Vineyard Dryland Pinot Noir (Santa Lucia Highlands),Pinot Noir,Boekenoogen,2014,36.441809,-121.46278400000001,43,35
3726,2966,US,Gary's Vineyard,90,65.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Bernardus 2014 Gary's Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Bernardus,2014,36.443034999999995,-121.43971699999999,43,35
3731,3679,US,Garys' Vineyard,93,66.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Testarossa 2014 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,2014,36.443034999999995,-121.43971699999999,43,35
3732,3682,US,Garys' Vineyard,93,60.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Siduri 2014 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Siduri,2014,36.443034999999995,-121.43971699999999,43,35
3733,4002,US,Garys' Vineyard,97,58.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Roar 2014 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Roar,2014,36.443034999999995,-121.43971699999999,43,35
3734,4528,US,Garys' Vineyard,91,60.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Miner 2014 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Miner,2014,36.443034999999995,-121.43971699999999,43,35
3735,4892,US,Garys' Vineyard,92,50.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Loring Wine Company 2014 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Loring Wine Company,2014,36.443034999999995,-121.43971699999999,43,35
3742,3689,US,Guidotti Vineyard,92,64.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Testarossa 2014 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,2014,36.362173999999996,-121.34482,43,35
3755,3948,US,KW Vineyard,92,32.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Mignanelli 2014 KW Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Mignanelli,2014,36.453724,-121.44343400000001,43,35
3760,2956,US,Lone Oak Vineyard,90,50.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Lucienne 2014 Lone Oak Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Lucienne,2014,36.455531,-121.452999,43,35
3761,3826,US,Lone Oak Vineyard,87,47.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Passaggio 2014 Lone Oak Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Passaggio,2014,36.455531,-121.452999,43,35
3765,4544,US,Peterson Vineyard,94,48.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Mansfield-Dunne 2014 Peterson Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Mansfield-Dunne,2014,36.402771,-121.41283,43,35
3772,3061,US,Pisoni VIneyard,92,70.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Bernardus 2014 Pisoni VIneyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Bernardus,2014,36.341108,-121.364787,43,35
3773,3670,US,Pisoni Vineyard,94,65.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Siduri 2014 Pisoni Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Siduri,2014,36.341108,-121.364787,43,35
3774,4660,US,Pisoni Vineyard,93,75.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Testarossa 2014 Pisoni Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,2014,36.341108,-121.364787,43,35
3775,4705,US,Pisoni VIneyard,93,100.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Patz & Hall 2014 Pisoni VIneyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Patz & Hall,2014,36.341108,-121.364787,43,35
3783,3674,US,Rosella's Vineyard,94,58.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Siduri 2014 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Siduri,2014,36.457326,-121.457226,43,35
3784,3707,US,Rosella's Vineyard,90,65.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Bernardus 2014 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Bernardus,2014,36.457326,-121.457226,43,35
3785,3720,US,Rosella's Vineyard,88,60.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Miner 2014 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Miner,2014,36.457326,-121.457226,43,35
3786,4200,US,Rosella's Vineyard,94,55.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Furthermore 2014 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Furthermore,2014,36.457326,-121.457226,43,35
3787,4385,US,Rosella's Vineyard,90,64.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Testarossa 2014 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,2014,36.457326,-121.457226,43,35
3788,4886,US,Rosella's Vineyard,92,50.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Loring Wine Company 2014 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Loring Wine Company,2014,36.457326,-121.457226,43,35
3794,3598,US,Sierra Mar,95,75.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Walt 2014 Sierra Mar Pinot Noir (Santa Lucia Highlands),Pinot Noir,Walt,2014,36.374571,-121.36705,43,35
3800,3721,US,Sierra Mar Vineyard,88,55.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Bernardus 2014 Sierra Mar Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Bernardus,2014,36.374571,-121.36705,43,35
3801,4013,US,Sierra Mar Vineyard,95,52.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Roar 2014 Sierra Mar Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Roar,2014,36.374571,-121.36705,43,35
3802,4017,US,Sierra Mar Vineyard,94,56.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Red Stitch 2014 Sierra Mar Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Red Stitch,2014,36.374571,-121.36705,43,35
3803,4447,US,Sierra Mar Vineyard,93,45.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Furthermore 2014 Sierra Mar Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Furthermore,2014,36.374571,-121.36705,43,35
3812,3057,US,Sleepy Hollow Vineyard Estate Grown,92,42.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Talbott 2014 Sleepy Hollow Vineyard Estate Grown Pinot Noir (Santa Lucia Highlands),Pinot Noir,Talbott,2014,36.486902,-121.50333899999998,43,35
3827,2619,US,Soberanes Vineyard,94,64.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Testarossa 2014 Soberanes Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,2014,36.441119,-121.44108999999999,43,35
3828,2758,US,Soberanes Vineyard,92,50.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Black Kite 2014 Soberanes Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Black Kite,2014,36.441119,-121.44108999999999,43,35
3829,2947,US,Soberanes Vineyard,91,55.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Bernardus 2014 Soberanes Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Bernardus,2014,36.441119,-121.44108999999999,43,35
3830,4032,US,Soberanes Vineyard,92,56.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Red Stitch 2014 Soberanes Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Red Stitch,2014,36.441119,-121.44108999999999,43,35
3831,4742,US,Soberanes Vineyard,93,46.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Bruliam 2014 Soberanes Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Bruliam,2014,36.441119,-121.44108999999999,43,35
3832,4936,US,Soberanes Vineyard,91,52.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Anaba 2014 Soberanes Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Anaba,2014,36.441119,-121.44108999999999,43,35
3839,2888,US,Tondre,88,48.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,AuburnJames 2014 Tondre Pinot Noir (Santa Lucia Highlands),Pinot Noir,AuburnJames,2014,36.439721,-121.431541,43,35
3845,2642,US,Tondre Grapefield,93,64.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Testarossa 2014 Tondre Grapefield Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,2014,36.439721,-121.431541,43,35
3846,3244,US,Tondre Grapefield,95,55.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Tantara 2014 Tondre Grapefield Pinot Noir (Santa Lucia Highlands),Pinot Noir,Tantara,2014,36.439721,-121.431541,43,35
3847,3645,US,Tondre Grapefield,91,56.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Mooney Family 2014 Tondre Grapefield Pinot Noir (Santa Lucia Highlands),Pinot Noir,Mooney Family,2014,36.439721,-121.431541,43,35
3848,4420,US,Tondre Grapefield,94,44.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Cinnabar 2014 Tondre Grapefield Pinot Noir (Santa Lucia Highlands),Pinot Noir,Cinnabar,2014,36.439721,-121.431541,43,35
5372,3403,US,Maresh Vineyard,92,48.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Winderlea 2014 Maresh Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Winderlea,2014,45.279849,-123.05049199999999,46,29
5373,3520,US,Maresh Vineyard,93,60.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Kelley Fox 2014 Maresh Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Kelley Fox,2014,45.279849,-123.05049199999999,46,29
5375,3370,US,Maresh Vineyard Red Barn Blocks,95,70.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Kelley Fox 2014 Maresh Vineyard Red Barn Blocks Pinot Noir (Dundee Hills),Pinot Noir,Kelley Fox,2014,45.279849,-123.05049199999999,46,29
